[-1.51636    1.4560685  0.7864095 -1.969254  -0.7620648 -2.6526556]
[-1.501756    1.4520147   0.78221583 -1.9637778  -0.7575041  -2.6375349 ]
[-1.4841412   1.449729    0.77825457 -1.9443846  -0.7445725  -2.6064887 ]
[-1.4819452   1.4558916   0.78150696 -1.9361786  -0.7334572  -2.5902624 ]
[-1.4906785   1.4652762   0.7878511  -1.9372644  -0.72594154 -2.5867982 ]
[-1.5052409   1.4779782   0.79673386 -1.9459624  -0.7216183  -2.5939655 ]
[-1.5251296   1.4921393   0.80735636 -1.9579706  -0.7169564  -2.6028342 ]
[-1.5466568  1.5033147  0.8177173 -1.9723554 -0.7142231 -2.6151695]
[-1.5634723   1.5077411   0.8270824  -1.9900949  -0.71361315 -2.6327848 ]
[-1.5729518  1.5038674  0.8333508 -1.9991851 -0.7122111 -2.6411495]
[-1.5783889   1.4969146   0.8405243  -2.0020814  -0.70975184 -2.6434836 ]
[-1.5829678  1.4909015  0.8466221 -2.004477  -0.7075852 -2.6453943]
[-1.5828366   1.4811554   0.8563292  -1.9999422  -0.70207185 -2.6393747 ]
[-1.5829813  1.4751451  0.8641973 -1.9936092 -0.6973429 -2.6340346]
[-1.5727596   1.4620452   0.86719066 -1.9832215  -0.6922446  -2.622558  ]
[-1.558519    1.4482026   0.8670901  -1.9733945  -0.68819416 -2.611822  ]
[-1.549932   1.4391003  0.8663411 -1.9691569 -0.6866433 -2.609198 ]
[-1.5557808  1.4457266  0.8738758 -1.9728372 -0.6864787 -2.620339 ]
[-1.5706024   1.4657443   0.88417405 -1.982105   -0.6884149  -2.6366215 ]
[-1.5948882   1.4982896   0.8946292  -1.9992547  -0.69350564 -2.6645129 ]
[-1.6171589  1.5306578  0.9111946 -2.0114164 -0.6958155 -2.6860006]
[-1.6262035   1.5462258   0.9206856  -2.0111458  -0.69581544 -2.6878126 ]
[-1.6185981   1.5517195   0.92152834 -2.0019064  -0.6938269  -2.6754093 ]
[-1.6012082   1.5485609   0.9154052  -1.9870439  -0.69077015 -2.653743  ]
[-1.5816133  1.5437341  0.9053253 -1.9723864 -0.6883388 -2.6317935]
[-1.559309   1.5277631  0.8932353 -1.9631927 -0.6873792 -2.6163936]
[-1.5380714   1.5117093   0.87959903 -1.9559547  -0.6873668  -2.6033916 ]
[-1.5178359   1.4912899   0.86460644 -1.9507021  -0.6883431  -2.5930514 ]
[-1.5031761  1.4747059  0.8456435 -1.9501357 -0.6901424 -2.5894604]
[-1.4903005   1.4541533   0.8276069  -1.9500936  -0.69211346 -2.583889  ]
[-1.4817586   1.4324526   0.81189376 -1.9521502  -0.694655   -2.5791368 ]
[-1.4842715   1.4150561   0.80567884 -1.9618695  -0.69943887 -2.585609  ]
[-1.4957328   1.4071403   0.8111248  -1.9728415  -0.70237505 -2.59288   ]
[-1.518338    1.4091837   0.81966084 -1.9886124  -0.70753354 -2.6115131 ]
[-1.546761   1.4157026  0.8296231 -2.0080981 -0.7139447 -2.6365519]
[-1.5780706  1.4280177  0.8403411 -2.0255947 -0.7202584 -2.6625798]
[-1.602504    1.4375353   0.8494147  -2.0356164  -0.72385705 -2.6755111 ]
[-1.6125706  1.4349207  0.853901  -2.0346336 -0.7238459 -2.6728024]
[-1.6143909   1.428572    0.8555434  -2.02742    -0.72172743 -2.6616702 ]
[-1.5976428   1.4154799   0.85230684 -2.0080013  -0.71626097 -2.636556  ]
[-1.5785514  1.3998338  0.8483374 -1.9899329 -0.7128193 -2.6175177]
[-1.5605965   1.3861748   0.84437025 -1.9710048  -0.7074281  -2.5998077 ]
[-1.5501263   1.3769468   0.84708095 -1.9594243  -0.7041345  -2.5913079 ]
[-1.5498235   1.3779943   0.8510568  -1.9545414  -0.70358473 -2.595254  ]
[-1.5548775   1.381876    0.854789   -1.9562478  -0.70510614 -2.6077933 ]
[-1.5716578  1.3980579  0.8614553 -1.9681137 -0.7097304 -2.634151 ]
[-1.587194    1.4128304   0.86616576 -1.9819443  -0.716955   -2.6675944 ]
[-1.595109    1.4219369   0.86807394 -1.9875906  -0.71951395 -2.6888103 ]
[-1.5972576  1.427177   0.8673203 -1.9894595 -0.7203418 -2.700786 ]
[-1.598552    1.4353138   0.86566603 -1.9904851  -0.720368   -2.7080078 ]
[-1.5959811   1.4422585   0.86241055 -1.9885281  -0.71894324 -2.7072039 ]
[-1.5828145  1.446412   0.8569429 -1.9788377 -0.7144598 -2.6906352]
[-1.5672677   1.4503123   0.8517188  -1.9630843  -0.70542127 -2.6592298 ]
[-1.5526768   1.4500277   0.85260046 -1.9493923  -0.69711673 -2.628872  ]
[-1.5444329   1.4536378   0.8537134  -1.9421475  -0.68937004 -2.6074505 ]
[-1.5464485   1.4668568   0.85616827 -1.941404   -0.68309367 -2.598852  ]
[-1.5553856  1.4811109  0.858704  -1.9470192 -0.6789893 -2.5957685]
[-1.5666714  1.4946593  0.860122  -1.9575207 -0.6777253 -2.600485 ]
