"[221, 109, 15, 6, 1]","[222, 155, 16, 6, 1]","[222, 155, 16, 6, 1]"
"[221, 121, 12, 6, 1]","[221, 109, 15, 6, 1]","[222, 155, 16, 6, 1]"
"[221, 121, 12, 6, 1]","[221, 121, 12, 6, 1]","[221, 109, 15, 6, 1]"
"[220, 126, 11, 6, 1]","[221, 121, 12, 6, 1]","[221, 121, 12, 6, 1]"
"[220, 132, 10, 6, 1]","[220, 126, 11, 6, 1]","[221, 121, 12, 6, 1]"
"[220, 132, 7, 6, 0]","[220, 132, 10, 6, 1]","[220, 126, 11, 6, 1]"
"[219, 149, 5, 9, 0]","[220, 132, 7, 6, 0]","[220, 132, 10, 6, 1]"
"[219, 155, 5, 9, 0]","[219, 149, 5, 9, 0]","[220, 132, 7, 6, 0]"
"[219, 155, 4, 9, 0]","[219, 155, 5, 9, 0]","[219, 149, 5, 9, 0]"
"[219, 155, 5, 9, 0]","[219, 155, 4, 9, 0]","[219, 155, 5, 9, 0]"
"[217, 173, 2, 9, 0]","[219, 155, 5, 9, 0]","[219, 155, 4, 9, 0]"
