188.39088,136.76598,-408.44177,-17.5767,-18.110226,-77.48464,,0,1,2,3,4,5
164.39038,120.00684,-356.0474,-13.301653,-15.551761,-65.29007,,,,,,,
159.73659,116.35837,-346.5332,-12.4885235,-15.164668,-63.46363,,,,,,,
164.53711,119.91708,-356.39844,-13.437555,-15.8991785,-65.81752,,,,,,,
166.47722,121.961914,-359.89618,-14.447279,-16.586414,-67.21706,,,,,,,
160.14297,117.74104,-346.7048,-14.113153,-15.744277,-64.6517,,,,,,,
156.23152,115.05428,-339.68152,-13.377733,-14.979776,-62.831112,,,,,,,
156.32974,115.71198,-340.86597,-13.045808,-14.57475,-63.041233,,,,,,,
158.29135,117.133896,-345.00983,-13.039835,-15.041197,-63.772327,,,,,,,
155.39923,115.02803,-339.67743,-12.763216,-15.104123,-62.020763,,,,,,,
151.7632,112.363914,-332.40524,-12.6704645,-15.092399,-60.157207,,,,,,,
148.98886,111.133865,-327.67734,-13.195238,-15.337748,-59.24879,,,,,,,
151.54013,114.42279,-334.9832,-13.776628,-15.828407,-61.0262,,,,,,,
152.94312,116.96399,-339.97452,-14.048546,-16.059944,-62.21554,,,,,,,
148.99542,115.02911,-333.59387,-13.443868,-15.559357,-60.677586,,,,,,,
140.8762,109.58653,-317.19934,-12.743558,-14.786736,-57.6553,,,,,,,
138.57375,108.554214,-313.26007,-12.898321,-14.639658,-57.279034,,,,,,,
132.20569,103.781494,-299.59204,-12.541368,-14.13535,-54.93765,,,,,,,
120.54038,94.169495,-272.70828,-11.211723,-12.71465,-49.653046,,,,,,,
116.82748,90.22729,-263.37723,-10.441067,-12.046997,-47.61442,,,,,,,
113.31251,86.77074,-253.94559,-9.983759,-11.773695,-45.769047,,,,,,,
100.89695,76.94125,-224.5385,-8.967648,-10.564244,-40.661728,,,,,,,
119.43007,90.621994,-264.00522,-10.936332,-12.574857,-48.0134,,,,,,,
129.79878,98.01514,-286.11755,-11.727572,-13.369581,-51.67251,,,,,,,
149.7107,112.66782,-330.21915,-13.162176,-15.209986,-59.367355,,,,,,,
151.61276,114.447044,-334.79437,-13.397287,-15.802532,-60.590885,,,,,,,
158.51627,120.42324,-350.01392,-15.066566,-17.262953,-64.05065,,,,,,,
164.88803,126.53701,-363.9698,-16.279219,-18.12239,-67.72706,,,,,,,
160.65762,124.34253,-355.45908,-15.276547,-16.695679,-66.300255,,,,,,,
156.99767,122.27362,-349.12332,-13.680338,-15.226647,-64.48792,,,,,,,
151.61993,117.88118,-338.16785,-12.566517,-14.610094,-61.979286,,,,,,,
150.74532,117.5278,-336.95798,-12.688294,-15.416297,-61.985027,,,,,,,
152.1473,119.14191,-340.7535,-13.878529,-16.701782,-63.25896,,,,,,,
153.77345,120.04762,-344.99228,-14.936783,-17.088081,-63.6637,,,,,,,
149.12863,116.028275,-335.41605,-14.281628,-15.638548,-60.839436,,,,,,,
142.95819,110.278885,-321.58276,-12.844106,-14.000894,-57.144527,,,,,,,
143.60985,110.343925,-322.92917,-12.3956175,-13.684961,-56.82053,,,,,,,
140.95845,108.46586,-316.94534,-12.627907,-13.339058,-55.950653,,,,,,,
153.57356,118.29702,-345.02817,-14.61925,-15.454738,-61.70547,,,,,,,
156.27095,120.427505,-351.80264,-14.834109,-17.142696,-63.408066,,,,,,,
146.2554,112.42041,-329.64218,-13.135857,-16.29235,-59.49317,,,,,,,
140.77174,108.44436,-318.22037,-12.27348,-15.166903,-57.951603,,,,,,,
133.99306,103.93884,-303.76974,-11.920479,-13.93934,-55.928974,,,,,,,
132.77982,103.35312,-300.8724,-12.380909,-13.469694,-55.497387,,,,,,,
132.48138,102.80745,-299.2264,-12.673125,-13.494506,-54.684765,,,,,,,
138.07668,107.04902,-310.67535,-13.135273,-14.589107,-56.4932,,,,,,,
143.01646,110.6366,-320.8483,-13.113293,-15.615578,-58.19053,,,,,,,
142.07309,109.175026,-317.4158,-12.280574,-15.143322,-57.059616,,,,,,,
138.80533,105.830154,-309.4271,-11.826825,-14.143227,-55.195427,,,,,,,
129.1471,98.17195,-287.18552,-11.176048,-13.07817,-51.30559,,,,,,,
120.62876,91.64424,-267.09406,-10.758075,-12.435844,-48.170685,,,,,,,
120.16147,91.03941,-264.77707,-10.9956,-12.686305,-48.060917,,,,,,,
123.44218,93.471115,-271.67764,-11.223374,-13.092191,-49.438602,,,,,,,
135.05096,102.20015,-297.20477,-11.941228,-13.836059,-54.383404,,,,,,,
152.4518,115.49502,-335.26346,-13.2371025,-15.408545,-61.499084,,,,,,,
160.22923,121.427025,-353.4532,-13.956108,-16.549671,-64.38589,,,,,,,
149.43608,113.53861,-330.98657,-13.319652,-15.833687,-60.036026,,,,,,,
149.19873,114.14537,-332.7421,-14.139318,-16.022614,-60.638287,,,,,,,
155.77293,120.21518,-349.89355,-15.146805,-16.680214,-64.401665,,,,,,,
165.87425,128.61844,-374.03705,-15.441994,-17.125082,-68.66516,,,,,,,
152.98584,118.33009,-345.19144,-13.408936,-15.569805,-62.43834,,,,,,,
