"['209', '164', '6', 9, 0]"
"['209', '199', '5', 2, 0]"
"['209', '155', '8', 9, 0]"
"['209', '155', '7', 2, 0]"
"['209', '164', '5', 6, 0]"
"['209', '164', '5', 6, 0]"
"['209', '193', '6', 6, 0]"
"['209', '167', '5', 9, 0]"
"['209', '179', '6', 2, 0]"
"['209', '179', '6', 9, 0]"
"['209', '199', '9', 2, 0]"
"['209', '199', '7', 9, 0]"
"['209', '128', '12', 6, 0]"
"['209', '128', '15', 9, 0]"
"['209', '167', '19', 2, 0]"
"['209', '109', '17', 9, 0]"
"['209', '109', '17', 2, 0]"
"['209', '109', '18', 9, 0]"
"['209', '175', '14', 2, 0]"
"['209', '109', '14', 6, 0]"
"['209', '173', '12', 2, 0]"
"['209', '125', '12', 9, 0]"
"['209', '181', '14', 2, 0]"
"['209', '109', '13', 9, 0]"
"['209', '185', '17', 2, 0]"
"['209', '109', '13', 6, 0]"
"['209', '183', '18', 2, 0]"
"['209', '109', '17', 9, 0]"
"['209', '183', '14', 2, 0]"
"['209', '109', '17', 9, 0]"
"['209', '175', '15', 2, 0]"
"['209', '175', '15', 9, 0]"
"['209', '175', '12', 2, 0]"
"['209', '109', '15', 9, 0]"
"['209', '179', '12', 2, 0]"
"['209', '109', '16', 9, 0]"
"['209', '109', '16', 2, 0]"
"['209', '179', '11', 6, 0]"
"['209', '109', '17', 6, 0]"
"['209', '113', '17', 2, 0]"
"['209', '113', '11', 6, -1]"
"['209', '143', '15', 2, -1]"
"['209', '109', '13', 6, -1]"
"['209', '109', '12', 6, -1]"
"['209', '186', '9', 2, -1]"
"['209', '130', '11', 9, -1]"
"['209', '130', '12', 2, -1]"
"['209', '184', '9', 6, -1]"
"['209', '186', '9', 6, -1]"
"['209', '136', '12', 6, -1]"
"['209', '154', '13', 6, -1]"
"['209', '154', '20', 4.5, -1]"
"['209', '136', '15', 6, -1]"
"['209', '136', '18', 2, -1]"
"['209', '150', '21', 4, -1]"
"['209', '109', '17', 6, -1]"
"['209', '136', '20', 6, -1]"
"['209', '109', '15', 6, -1]"
"['209', '109', '16', 2, -1]"
"['209', '109', '14', 6, -1]"
"['209', '109', '14', 6, -1]"
"['209', '109', '14', 6, -1]"
"['209', '109', '17', 2, -1]"
"['209', '124', '11', 6, -1]"
"['209', '180', '16', 6, -1]"
"['209', '109', '11', 6, -1]"
"['209', '109', '13', 6, -1]"
"['209', '112', '14', 2, -1]"
"['209', '112', '12', 2, -1]"
"['209', '142', '9', 6, -1]"
"['209', '180', '10', 6, -1]"
"['209', '180', '10', 6, -1]"
"['209', '136', '11', 6, -1]"
"['209', '136', '11', 6, -1]"
"['209', '148', '7', 6, -1]"
"['209', '148', '12', 6, -1]"
"['209', '142', '10', 6, -1]"
"['209', '166', '10', 6, -1]"
"['209', '166', '15', 6, -1]"
"['209', '148', '14', 6, -1]"
"['209', '148', '8', 6, -1]"
"['209', '148', '14', 6, -1]"
