CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0.2258,0.22,0.09,0.7,0.026,0.011,-0.006,,
0.2267,0.02,-0.04,0.81,0.031,-0.005,-0.006,,
0.2275,-0.34,-0.26,0.81,0.035,-0.015,-0.002,,
0.2283,-0.49,-0.41,0.43,0.033,-0.015,0,,
0.2292,-0.44,-0.38,0.23,0.027,-0.01,0.004,,
0.23,-0.21,-0.36,0.26,0.024,0,0.006,,
0.2308,-0.05,-0.3,0.74,0.019,0.012,0.011,,
0.2317,0.01,-0.21,0.8,0.014,0.019,0.008,,
0.2325,0.02,-0.06,0.94,0.008,0.022,0.01,,
0.2333,-0.02,0.01,0.93,0.007,0.021,0.011,,
0.2342,-0.15,0.09,0.85,0.011,0.019,0.012,,
0.235,-0.16,-0.08,0.69,0.018,0.021,0.011,,
0.2358,-0.14,-0.3,0.6,0.022,0.026,0.008,,
0.2367,-0.04,-0.44,0.26,0.024,0.031,0.005,,
0.2375,-0.03,-0.39,0.25,0.023,0.034,0.005,,
0.2383,-0.03,-0.37,0.44,0.022,0.036,-0.001,,
0.2392,-0.15,-0.31,0.73,0.016,0.035,-0.006,,
0.24,-0.2,-0.27,0.95,0.011,0.039,-0.006,,
0.2408,-0.26,-0.15,1.1,0.005,0.047,-0.004,,
0.2417,0,0.03,0.84,0.001,0.065,-0.001,,
0.2425,0.48,0.16,0.92,0.001,0.086,0.005,,
0.2433,0.93,-0.01,0.96,0.009,0.107,0.006,,
0.2442,1.15,-0.16,0.91,0.011,0.116,0.004,,
0.245,1.01,-0.16,0.55,0.011,0.108,0.001,,
0.2458,0.56,-0.13,0.34,0.004,0.091,0.001,,
0.2467,0.14,-0.04,0.67,0,0.064,-0.006,,
0.2475,-0.23,0.06,0.84,-0.003,0.045,-0.008,,
0.2483,-0.52,0.17,0.99,-0.008,0.026,-0.008,,
0.2492,-0.65,0.28,0.75,-0.007,0.017,-0.007,,
0.25,-0.52,0.34,0.43,-0.011,0.014,-0.009,,
0.2508,-0.39,0.2,0.3,-0.006,0.015,-0.01,,
0.2517,-0.41,-0.04,0.22,-0.001,0.013,-0.008,,
0.2525,-0.41,-0.14,0.29,0.006,0.015,-0.005,,
0.2533,-0.34,-0.05,0.18,0.009,0.02,-0.001,,
0.2542,-0.04,-0.1,0.28,0.014,0.032,0.001,,
0.255,0.11,-0.11,0.53,0.019,0.034,-0.001,,
0.2558,0.14,-0.18,0.49,0.023,0.036,0,,
0.2567,0.07,-0.04,0.19,0.018,0.031,-0.001,,
0.2575,-0.09,-0.01,-0.09,0.014,0.018,-0.001,,
0.2583,-0.19,-0.11,0.02,0.016,0.01,-0.004,,
0.2592,-0.34,-0.11,0.51,0.018,0.002,-0.007,,
0.26,-0.41,-0.03,0.73,0.023,0,-0.004,,
0.2608,-0.11,-0.01,0.88,0.024,0.011,-0.001,,
0.2617,0.24,0.02,0.96,0.028,0.019,-0.002,,
0.2625,0.49,-0.06,0.6,0.034,0.026,-0.004,,
0.2633,0.64,-0.39,0.56,0.041,0.025,-0.004,,
0.2642,0.38,-0.55,0.3,0.048,0.014,-0.001,,
0.265,0.2,-0.58,0.06,0.047,0.006,0,,
0.2658,0.13,-0.35,0.23,0.042,0,-0.002,,
0.2667,0.24,-0.05,0.4,0.034,0.002,-0.002,,
0.2675,0.34,0.16,0.8,0.027,0.001,-0.001,,
0.2683,0.37,0.26,0.75,0.025,0.004,-0.001,,
0.2692,0.28,0.09,0.89,0.024,-0.003,-0.001,,
0.27,0.17,0,0.65,0.031,-0.007,-0.001,,
0.2708,0.1,-0.13,0.84,0.032,-0.013,-0.002,,
0.2717,-0.11,-0.21,0.63,0.045,-0.021,-0.001,,
0.2725,-0.03,-0.63,0.73,0.059,-0.022,-0.001,,
0.2733,0.02,-1.15,0.88,0.083,-0.025,0,,
0.2742,0.07,-1.29,1.19,0.09,-0.025,-0.008,,
0.275,-0.18,-0.85,0.88,0.082,-0.033,-0.003,,
0.2758,-0.15,-0.53,0.96,0.062,-0.032,0.002,,
0.2767,-0.07,-0.02,1,0.04,-0.025,0.002,,
0.2775,0.07,0.22,1.12,0.021,-0.014,0,,
0.2783,0.25,0.08,1.35,0.018,-0.002,0.006,,
0.2792,0.35,-0.03,1.36,0.014,0.006,0.006,,
0.28,0.48,-0.11,0.98,0.01,0.013,0.003,,
0.2808,0.5,0.07,0.47,0,0.014,0.002,,
0.2817,0.34,0.02,0.26,-0.003,0.005,0.005,,
0.2825,0.33,0.08,0.7,-0.001,0.004,0.002,,
0.2833,0.22,0.47,1.13,-0.009,0.004,0,,
0.2842,0.15,0.77,1.33,-0.013,0,-0.004,,
0.285,-0.08,0.76,1.45,-0.007,-0.014,-0.007,,
0.2858,-0.45,0.32,1.09,0.012,-0.03,-0.006,,
0.2867,-0.65,-0.28,0.54,0.035,-0.039,-0.009,,
0.2875,-0.68,-0.89,0.03,0.056,-0.039,-0.006,,
0.2883,-0.44,-1.07,-0.55,0.068,-0.024,-0.003,,
0.2892,0.07,-0.88,-0.84,0.062,-0.001,0.001,,
0.29,0.62,-0.39,0.3,0.027,0.034,0.004,,
0.2908,0.74,0.18,0.35,0.013,0.039,0.007,,
0.2917,0.52,0.36,0.51,0.005,0.034,0.01,,
0.2925,0.29,0.17,0.8,0.005,0.027,0.007,,
0.2933,-0.02,-0.08,1.05,0.009,0.016,0.005,,
0.2942,-0.38,-0.14,1.23,0.009,0.002,0.003,,
0.295,-0.55,-0.09,1.12,0.007,-0.005,0.004,,
0.2958,-0.57,-0.07,1.01,0.005,-0.01,0.001,,
0.2967,-0.54,-0.12,1.03,0.004,-0.009,0.002,,
0.2975,-0.53,-0.13,1.12,0.004,-0.01,0.002,,
0.2983,-0.6,-0.01,1.05,0.001,-0.009,0.004,,
0.2992,-0.61,0.08,0.78,-0.004,-0.008,0.005,,
0.3,-0.61,-0.01,0.79,-0.005,-0.006,0.007,,
0.3008,-0.48,0.05,0.69,-0.007,0.003,0.007,,
0.3017,-0.25,0.15,0.43,-0.005,0.009,0.007,,
0.3025,-0.18,0.24,0.27,-0.005,0.011,0.008,,
0.3033,-0.12,0.14,0.13,-0.001,0.011,0.01,,
0.3042,-0.1,0.08,0.15,0.006,0.009,0.01,,
0.305,-0.07,-0.12,0.21,0.015,0.008,0.008,,
0.3058,-0.14,-0.25,0.23,0.024,0.007,0.005,,
0.3067,-0.11,-0.41,0.34,0.031,0.009,0.004,,
0.3075,-0.02,-0.45,0.3,0.036,0.012,0.002,,
0.3083,0.01,-0.49,0.39,0.034,0.015,0,,
0.3092,0.15,-0.58,0.82,0.028,0.027,-0.002,,
