338.9292,-157.28424,-187.17096,-385.44055,43.544643,-169.67395,,0,1,2,3,4,5
141.42662,104.78083,-308.04828,-12.361554,-15.444386,-60.35868,,,,,,,
154.37135,114.22375,-333.86853,-14.649677,-16.968092,-66.3614,,,,,,,
171.2966,126.17801,-368.70544,-16.88799,-17.972107,-74.10434,,,,,,,
175.52908,128.72571,-377.08713,-17.040375,-16.686846,-75.85322,,,,,,,
164.2465,119.84373,-353.03506,-14.954916,-13.352758,-70.45378,,,,,,,
150.46297,109.3685,-324.24197,-12.443185,-10.909221,-63.709667,,,,,,,
144.03438,103.912125,-311.63263,-11.218704,-9.747054,-60.774387,,,,,,,
150.11098,107.835464,-325.5957,-11.478005,-9.769125,-63.379166,,,,,,,
153.61964,110.26604,-333.40128,-11.842409,-10.11733,-65.22095,,,,,,,
159.10527,114.83117,-346.13083,-13.000911,-11.238336,-68.53893,,,,,,,
166.59584,120.04012,-362.59805,-15.04856,-13.142663,-72.5301,,,,,,,
170.05313,122.35458,-371.148,-16.407137,-15.723702,-74.25324,,,,,,,
164.05956,117.81526,-359.82224,-15.966955,-17.146872,-71.3629,,,,,,,
157.6708,112.92611,-348.17303,-14.751871,-17.35438,-67.896126,,,,,,,
147.13222,105.334045,-326.10983,-13.348888,-16.077337,-63.004837,,,,,,,
146.81358,105.19306,-325.5215,-13.4198885,-15.3764515,-62.84798,,,,,,,
147.84235,106.16561,-327.05618,-13.958853,-14.69034,-63.4863,,,,,,,
156.50293,112.74975,-344.3988,-15.332362,-14.853129,-67.54299,,,,,,,
155.51393,111.97518,-339.79907,-15.089164,-14.356044,-67.456726,,,,,,,
157.30937,113.18857,-342.26602,-14.494517,-14.202755,-68.12753,,,,,,,
162.3729,116.81759,-352.71643,-13.8792,-14.4781065,-69.76926,,,,,,,
155.45158,111.52642,-337.69177,-12.779156,-14.390197,-66.21102,,,,,,,
156.26701,112.22487,-339.2794,-12.750324,-15.562679,-66.4159,,,,,,,
157.71376,113.66252,-341.7095,-13.103615,-16.382402,-67.03989,,,,,,,
158.62659,114.27265,-343.61453,-14.024371,-16.226246,-67.91538,,,,,,,
155.73969,112.07269,-338.02826,-14.604146,-14.930672,-66.69366,,,,,,,
148.52263,106.70516,-323.63705,-14.351446,-13.192871,-63.549427,,,,,,,
146.44698,105.25575,-319.3319,-14.117719,-12.699288,-62.784164,,,,,,,
148.39775,106.947754,-323.44397,-14.021243,-12.93119,-63.85737,,,,,,,
149.85251,108.633934,-326.32016,-13.736408,-13.663648,-64.96753,,,,,,,
155.68755,113.436424,-339.23425,-13.833619,-15.0685625,-67.60094,,,,,,,
153.7087,112.37305,-335.39072,-13.491132,-15.358127,-66.39292,,,,,,,
156.56473,114.0271,-341.84778,-13.983825,-15.648519,-67.79384,,,,,,,
158.73419,114.44386,-346.68472,-14.802145,-15.431388,-68.97068,,,,,,,
158.70215,113.11213,-347.17258,-15.263592,-14.903802,-69.17372,,,,,,,
157.04982,110.58114,-343.80475,-14.965269,-14.490804,-68.08357,,,,,,,
155.44078,108.66524,-340.21024,-14.315505,-14.411249,-67.26064,,,,,,,
164.53716,114.63495,-359.13318,-14.610775,-15.5338955,-70.80056,,,,,,,
163.43877,113.48845,-356.7277,-14.045702,-15.522505,-69.514366,,,,,,,
163.86131,113.687904,-358.11023,-13.6330385,-15.486242,-68.85795,,,,,,,
161.42705,112.31468,-352.79166,-13.04792,-15.2821,-67.471245,,,,,,,
160.82756,112.33772,-351.53772,-13.234953,-15.113263,-67.627815,,,,,,,
161.34389,112.90008,-352.98282,-13.670177,-14.966875,-68.86093,,,,,,,
153.17964,107.60709,-335.5041,-13.325919,-14.29278,-66.36026,,,,,,,
148.6627,104.52841,-325.9001,-13.086813,-13.914303,-64.72077,,,,,,,
135.83998,95.73695,-297.81232,-11.87776,-12.584164,-59.05647,,,,,,,
136.13661,96.14957,-298.1472,-11.738386,-12.643601,-58.8416,,,,,,,
155.8995,109.82972,-341.27124,-13.156646,-14.780739,-66.46341,,,,,,,
154.91716,108.96337,-339.84048,-12.676062,-14.812515,-64.88943,,,,,,,
150.32805,105.02849,-329.66315,-12.163889,-14.279612,-62.323326,,,,,,,
148.85632,103.562355,-325.8738,-12.427399,-13.925837,-61.22023,,,,,,,
142.94708,99.2943,-312.4013,-12.453257,-13.076584,-58.98834,,,,,,,
136.2174,94.68481,-297.4377,-12.146755,-12.431787,-56.62261,,,,,,,
143.00333,99.465706,-312.17496,-12.690687,-12.8605175,-60.29377,,,,,,,
139.87947,97.37382,-305.9733,-11.910339,-12.643426,-59.73232,,,,,,,
125.04382,87.18341,-274.0908,-10.119857,-11.604535,-53.86888,,,,,,,
131.42725,91.94173,-288.19232,-10.634748,-12.553052,-57.3787,,,,,,,
132.05573,93.050316,-289.59595,-11.034261,-13.110563,-58.380802,,,,,,,
141.1879,100.42278,-309.43524,-12.283117,-14.183669,-62.425896,,,,,,,
152.5183,109.088554,-333.2592,-13.478912,-14.694519,-66.70853,,,,,,,
154.62608,110.65183,-337.29022,-13.470639,-13.972822,-66.335075,,,,,,,
154.63884,109.89518,-336.3871,-13.058855,-13.473825,-65.00206,,,,,,,
165.15785,116.00496,-358.31625,-13.853083,-14.525889,-68.6242,,,,,,,
164.66827,114.565285,-357.35,-13.925009,-15.322817,-68.57636,,,,,,,
157.40628,107.7965,-341.5211,-12.830382,-14.402784,-64.83044,,,,,,,
154.73508,105.33711,-336.48196,-12.542626,-13.977513,-64.02721,,,,,,,
135.71648,92.254715,-295.2322,-11.028948,-12.543309,-56.59919,,,,,,,
143.54778,97.7572,-312.27512,-12.038367,-13.614469,-60.647343,,,,,,,
148.17339,102.110504,-323.16864,-12.758191,-14.334374,-63.495663,,,,,,,
141.05095,98.797966,-308.746,-12.24047,-13.511912,-60.8854,,,,,,,
148.00371,105.35129,-324.4057,-12.905918,-13.918597,-63.928997,,,,,,,
147.54866,105.82852,-323.8841,-12.768882,-13.615325,-63.519836,,,,,,,
151.12534,108.54203,-331.69342,-12.699185,-13.954084,-64.49145,,,,,,,
153.23248,110.028275,-336.61636,-12.654855,-14.053224,-64.66697,,,,,,,
145.37123,103.58343,-319.10205,-11.302683,-12.374825,-59.906788,,,,,,,
149.92387,105.249016,-328.33734,-11.702038,-12.279821,-60.704433,,,,,,,
134.0729,92.67244,-292.90778,-10.789373,-10.946478,-53.839638,,,,,,,
135.90271,92.9019,-296.55402,-11.521881,-11.556013,-54.696934,,,,,,,
143.33218,97.2953,-312.12408,-12.683852,-13.085742,-58.03783,,,,,,,
146.7349,99.602905,-319.38342,-13.13811,-14.616691,-60.144943,,,,,,,
146.071,99.904495,-318.5645,-12.628952,-14.931115,-61.28145,,,,,,,
142.82559,98.59816,-312.7945,-11.59647,-14.186762,-61.07843,,,,,,,
138.19719,96.655525,-303.4167,-10.679073,-12.787341,-59.905125,,,,,,,
147.19179,104.612175,-324.09082,-11.382971,-13.14624,-64.67578,,,,,,,
152.71394,110.33277,-336.77332,-12.167928,-13.609985,-67.52683,,,,,,,
158.63486,115.47269,-348.4646,-13.485007,-14.562232,-69.53249,,,,,,,
140.46722,102.87139,-307.52945,-12.545059,-13.170496,-60.57953,,,,,,,
