"[227, 174, -12, 6, 0]","[227, 175, -5, 6, 0]","[227, 66, 1, 6, 0]"
"[228, 223, -15, 6, 0]","[227, 174, -12, 6, 0]","[227, 175, -5, 6, 0]"
"[228, 223, -17, 6, 0]","[228, 223, -15, 6, 0]","[227, 174, -12, 6, 0]"
"[198, 228, -18, 6, 0]","[228, 223, -17, 6, 0]","[228, 223, -15, 6, 0]"
"[138, 228, -19, 6, 0]","[198, 228, -18, 6, 0]","[228, 223, -17, 6, 0]"
"[138, 228, -20, 6, 0]","[138, 228, -19, 6, 0]","[198, 228, -18, 6, 0]"
"[126, 228, -19, 6, 0]","[138, 228, -20, 6, 0]","[138, 228, -19, 6, 0]"
"[126, 228, -19, 9, 0]","[126, 228, -19, 6, 0]","[138, 228, -20, 6, 0]"
"[108, 228, -16, 4.5, 1]","[126, 228, -19, 9, 0]","[126, 228, -19, 6, 0]"
"[108, 228, -16, 4.5, 1]","[108, 228, -16, 4.5, 1]","[126, 228, -19, 9, 0]"
"[108, 228, -12, 4.5, 1]","[108, 228, -16, 4.5, 1]","[108, 228, -16, 4.5, 1]"
"[142, 228, -9, 4.5, 1]","[108, 228, -12, 4.5, 1]","[108, 228, -16, 4.5, 1]"
"[155, 228, -5, 4.5, 1]","[142, 228, -9, 4.5, 1]","[108, 228, -12, 4.5, 1]"
"[173, 228, -3, 4.5, 1]","[155, 228, -5, 4.5, 1]","[142, 228, -9, 4.5, 1]"
"[173, 228, -3, 4.5, 1]","[173, 228, -3, 4.5, 1]","[155, 228, -5, 4.5, 1]"
"[186, 228, 4, 4.5, 1]","[173, 228, -3, 4.5, 1]","[173, 228, -3, 4.5, 1]"
"[186, 228, 4, 4.5, 1]","[186, 228, 4, 4.5, 1]","[173, 228, -3, 4.5, 1]"
"[213, 228, 9, 4.5, 1]","[186, 228, 4, 4.5, 1]","[186, 228, 4, 4.5, 1]"
"[213, 228, 9, 4.5, 1]","[213, 228, 9, 4.5, 1]","[186, 228, 4, 4.5, 1]"
"[228, 212, 11, 4.5, 1]","[213, 228, 9, 4.5, 1]","[213, 228, 9, 4.5, 1]"
"[228, 212, 13, 4.5, 1]","[228, 212, 11, 4.5, 1]","[213, 228, 9, 4.5, 1]"
"[228, 189, 14, 6, 1]","[228, 212, 13, 4.5, 1]","[228, 212, 11, 4.5, 1]"
"[228, 180, 15, 4.5, 1]","[228, 189, 14, 6, 1]","[228, 212, 13, 4.5, 1]"
"[228, 180, 17, 4.5, 1]","[228, 180, 15, 4.5, 1]","[228, 189, 14, 6, 1]"
"[228, 152, 18, 4.5, 0]","[228, 180, 17, 4.5, 1]","[228, 180, 15, 4.5, 1]"
